strategy,timeframe,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles,min_quality_score,min_body_to_range,min_close_location,min_range_expansion,min_atr_expansion,min_ema20_slope_pct,min_ema_alignment_strength,min_breakout_distance_pct
donchian_breakout,15m,50,1294,0.4180834621329212,0.7796570320590159,-0.0829878667684616,109.92372934700623,-3.867846737084146,-107.3862995983893,3,,,0.4,,0.012,0.008,24,4,0.4,0.7,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,51,1229,0.4165988608624898,0.7796182635287399,-0.08430674132643978,107.47810896120892,-5.295103131447075,-103.61298509019448,3,,,0.4,,0.012,0.008,24,4,0.4,0.85,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,52,1228,0.4185667752442997,0.7786783607815586,-0.08470966726566595,108.76827527325219,-5.7857857165244155,-104.02347140223779,3,,,0.4,,0.012,0.008,24,4,0.4,0.85,1.0,1.0,0.0,0.0,0.0005
donchian_breakout,15m,53,1228,0.4153094462540717,0.7782234810084129,-0.08438379649906211,109.2883420754458,-5.385456283361612,-103.62330210084826,3,,,0.4,,0.012,0.008,24,4,0.6,0.7,1.0,1.0,0.0,0.0,0.0005
donchian_breakout,15m,54,1168,0.4186643835616438,0.7778954428932338,-0.08516297489529186,100.81809677919482,-6.0327677848148324,-99.4703546777009,3,,,0.4,,0.012,0.008,24,5,0.4,0.7,1.0,1.0,0.0,0.0,0.0
donchian_breakout,15m,55,1341,0.4168530947054437,0.7773564539941187,-0.08350736628689027,115.58370684934806,-4.705260294837806,-111.98337819071986,3,,,0.4,,0.012,0.008,24,3,0.6,0.7,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,56,1350,0.4177777777777778,0.776906939402071,-0.08404495681119233,119.2894852568434,-5.462876845847985,-113.46069169510963,3,,,0.4,,0.012,0.008,24,3,0.6,0.85,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,57,915,0.4098360655737705,0.7767567368232514,-0.08635119432984734,86.79294166465992,-5.813668279121964,-79.01134281181031,3,,,0.4,,0.012,0.008,24,5,0.4,0.85,1.25,1.0,0.0,0.0,0.0005
donchian_breakout,15m,58,1295,0.41776061776061774,0.7763724635151924,-0.08470926879700288,114.94338696035702,-6.100943469506539,-109.69850309211873,3,,,0.4,,0.012,0.008,24,3,0.6,0.85,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,59,1314,0.4185692541856925,0.7762681059823395,-0.08451447738185137,114.53754714799098,-5.934397038568146,-111.0520232797527,3,,,0.4,,0.012,0.008,24,3,0.6,0.85,1.0,0.9,0.0,0.0,0.0005
donchian_breakout,15m,60,1355,0.41697416974169743,0.7758664696840266,-0.08444275019057447,118.12910963035029,-6.022335442405376,-114.4199265082284,3,,,0.4,,0.012,0.008,24,3,0.6,0.7,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,61,1311,0.41647597254004576,0.7755226160551754,-0.08455189841956522,113.38496857666699,-5.9699267987695075,-110.84753882804999,3,,,0.4,,0.012,0.008,24,4,0.4,0.7,1.0,1.0,0.0,0.0,0.0
donchian_breakout,15m,62,1143,0.42082239720035,0.7749878474532026,-0.08696754530822545,103.06249075850535,-7.967091123751211,-99.4039042873017,3,,,0.4,,0.012,0.008,24,5,0.4,0.85,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,63,1324,0.4206948640483384,0.7748488101703406,-0.08522455922144054,116.08490712688975,-6.92008444296446,-112.83731640918727,3,,,0.4,,0.012,0.008,24,3,0.6,0.7,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,64,1229,0.4165988608624898,0.7747856565207237,-0.08579582788336398,109.63772918108724,-7.125922837789456,-105.44307246865434,3,,,0.4,,0.012,0.008,24,4,0.6,0.7,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,65,1274,0.41993720565149134,0.7746168638844774,-0.08560621263321612,110.66746954142947,-7.145172963902905,-109.06231489471733,3,,,0.4,,0.012,0.008,24,4,0.4,0.7,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,66,1246,0.41653290529695025,0.7746025477507117,-0.08592693356091292,109.78772701414547,-7.387914382650583,-107.0649592168975,3,,,0.4,,0.012,0.008,24,4,0.4,0.7,1.25,1.0,0.0,0.0,0.0005
donchian_breakout,15m,67,1281,0.41608118657298987,0.7743590930246724,-0.08584284157600319,115.03109408323928,-7.487675128911677,-109.9646800588601,3,,,0.4,,0.012,0.008,24,3,0.6,0.85,1.25,1.0,0.0,0.0,0.0005
donchian_breakout,15m,68,990,0.4090909090909091,0.7739017940403187,-0.08750408475109865,93.99221185112475,-7.432016710271791,-86.62904390358767,3,,,0.4,,0.012,0.008,24,5,0.4,0.85,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,69,1334,0.41829085457271364,0.7738969490579363,-0.085434751637267,116.92874110587343,-7.252859828045415,-113.96995868411419,3,,,0.4,,0.012,0.008,24,3,0.6,0.7,1.0,0.9,0.0,0.0,0.0005
donchian_breakout,15m,70,1218,0.4154351395730706,0.7729921634335655,-0.08706596544148747,111.38335869393107,-8.6097898236612,-106.04634590773173,3,,,0.4,,0.012,0.008,24,4,0.6,0.85,1.0,0.9,0.0,0.0,0.0005
donchian_breakout,15m,71,1208,0.41887417218543044,0.7717583315052228,-0.08743767682755625,108.09197570918182,-8.988308931260464,-105.62471360768795,3,,,0.4,,0.012,0.008,24,5,0.4,0.7,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,72,1354,0.4150664697193501,0.7713676945151217,-0.08608827598068591,120.60024477475525,-8.24682440761178,-116.56352567784873,3,,,0.4,,0.012,0.008,24,3,0.6,0.7,1.0,1.0,0.0,0.0,0.0
donchian_breakout,15m,73,1357,0.41414885777450255,0.7711398436106356,-0.08678036481527279,121.47013817644705,-9.204636909088823,-117.76095505432518,3,,,0.4,,0.012,0.008,24,3,0.4,0.85,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,74,1260,0.41984126984126985,0.7708727088915058,-0.08757626403538464,113.33153655559909,-9.54991264964452,-110.34609268458465,3,,,0.4,,0.012,0.008,24,4,0.4,0.85,1.0,0.9,0.0,0.0,0.0005
donchian_breakout,15m,75,1307,0.4185156847742923,0.7705974609284233,-0.08718606096731173,117.19977240197896,-9.395940060300559,-113.95218168427643,3,,,0.4,,0.012,0.008,24,3,0.6,0.7,1.25,1.0,0.0,0.0,0.0005
donchian_breakout,15m,76,1367,0.4162399414776884,0.7700732188012426,-0.08698085363647445,122.63481463984158,-9.546645579292306,-118.90282692106058,3,,,0.4,,0.012,0.008,24,2,0.4,0.85,1.0,1.0,0.0,0.0,0.0005
donchian_breakout,15m,77,1365,0.4153846153846154,0.7694007998461871,-0.08725889352973962,123.25396322849481,-9.912354609938564,-119.10838966809457,3,,,0.4,,0.012,0.008,24,3,0.6,0.7,1.0,0.9,0.0,0.0,0.0
donchian_breakout,15m,78,1366,0.4136163982430454,0.7693816769958913,-0.08748278237478882,123.6470542843617,-10.225570952342485,-119.50148072396154,3,,,0.4,,0.012,0.008,24,3,0.4,0.85,1.0,0.9,0.0,0.0,0.0
