strategy,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
donchian_breakout,74,3439,0.30764757196859555,0.47190358292462825,-0.08609977826393599,297.4995901731789,-20.985531662340797,-296.09713744967587,20,,,1.5,,0.006,0.003,30
donchian_breakout,75,3584,0.400390625,0.4707862207015002,-0.08572155181626143,307.2975937026939,-20.51424740844433,-307.22604170948097,30,,,1.2,,0.003,0.003,45
donchian_breakout,76,3874,0.4024264326277749,0.4707134457426486,-0.08558766944470869,331.638183422016,-21.655293546219962,-331.5666314288015,20,,,1.2,,0.003,0.003,45
donchian_breakout,77,4253,0.28568069597930873,0.46978042245130575,-0.07935806782857303,338.0374665902757,2.7312300170857124,-337.50986247492114,10,,,1.2,,0.006,0.002,30
donchian_breakout,78,3630,0.2950413223140496,0.46906649435108183,-0.08334334510657204,303.4507939998875,-12.141199216543127,-302.5363427368565,30,,,1.0,,0.006,0.0025,30
donchian_breakout,79,3932,0.384028484231943,0.4686713347990707,-0.08284411984994632,325.8146312432036,-11.187554271697586,-325.7430792499889,20,,,1.2,,0.003,0.0025,45
donchian_breakout,80,3947,0.32860400304028375,0.46847424162606965,-0.08074456579644067,318.7427239092766,-2.9399771894271165,-318.69880119855134,20,,,1.2,,0.004,0.0025,30
donchian_breakout,81,4039,0.2820004951720723,0.46813591042873953,-0.07986038823580772,322.8994494350041,0.5641175625976408,-322.5561080844274,20,,,1.0,,0.006,0.002,30
donchian_breakout,82,3825,0.39712418300653596,0.46797235352166916,-0.08627968621455424,330.0197997706743,-24.029411535284094,-330.01979977067,10,,,1.5,,0.003,0.003,45
donchian_breakout,83,3863,0.33859694537923896,0.4676512561790224,-0.08347262954203101,322.4547679208691,-13.420135975255882,-322.4547679208658,10,,,1.5,,0.004,0.003,30
donchian_breakout,84,4596,0.3409486510008703,0.4675965738509938,-0.08326178975896073,382.67454503018547,-14.997184606025904,-382.6711857321835,10,,,1.0,,0.004,0.003,30
